"","var","trt","value","se"
"1","N","M",-0.156934348633562,0.0737632904528731
"2","N","C",0.0310046390523864,0.0549058437391128
"3","N","B",0.29686451399967,0.0751343124851018
"4","N","P",0.0599024515466564,0.0664649687368208
"5","L","M",0.404685323540585,0.0896099784728379
"6","L","C",-0.00692668101810825,0.0502152716221354
"7","L","B",-0.00942129922755489,0.0573762188172724
"8","L","P",0.0977581902711697,0.0559330848966157
"9","H","M",0.0106822320973264,0.0133466890070664
"10","H","B",0.0141265389378597,0.0180826109127996
"11","H","P",0.0429726087273257,0.0232490711735995
"12","H","C",0.00459459459459459,0.0166216216216216
"13","W","C",-0.0328749289473201,0.0352558813282726
"14","W","B",-0.302040816326531,0.054421768707483
"15","W","M",-0.194897959183673,0.0629251700680272
"16","W","P",-0.261224489795918,0.0527210884353742
